timestamp_utc,timestamp_local,temperature_c,relative_humidity_pct,wind_speed_10m_mps,solar_radiation_wm2,dew_point_c,surface_pressure_kpa
2024-05-01 00:00:00+00:00,2024-05-01 05:30:00+05:30,20.16,38.67,3.66,22.76,5.66,97.82
2024-05-01 01:00:00+00:00,2024-05-01 06:30:00+05:30,22.37,37.48,4.94,154.26,7.19,97.89
2024-05-01 02:00:00+00:00,2024-05-01 07:30:00+05:30,25.94,31.72,4.96,342.3,7.89,97.95
2024-05-01 03:00:00+00:00,2024-05-01 08:30:00+05:30,30.76,19.83,6.17,546.41,5.03,98.01
2024-05-01 04:00:00+00:00,2024-05-01 09:30:00+05:30,33.5,13.66,6.99,715.67,2.07,98.05
2024-05-01 05:00:00+00:00,2024-05-01 10:30:00+05:30,34.6,11.74,7.28,845.11,0.83,98.05
2024-05-01 06:00:00+00:00,2024-05-01 11:30:00+05:30,35.4,10.14,7.6,901.9,-0.53,98.01
2024-05-01 07:00:00+00:00,2024-05-01 12:30:00+05:30,35.85,9.27,7.87,890.36,-1.37,97.95
2024-05-01 08:00:00+00:00,2024-05-01 13:30:00+05:30,35.84,8.92,8.21,904.28,-1.88,97.89
2024-05-01 09:00:00+00:00,2024-05-01 14:30:00+05:30,35.37,8.8,8.61,758.97,-2.35,97.83
2024-05-01 10:00:00+00:00,2024-05-01 15:30:00+05:30,34.42,8.81,8.85,563.25,-3.06,97.81
2024-05-01 11:00:00+00:00,2024-05-01 16:30:00+05:30,32.98,9.18,8.73,337.88,-3.58,97.81
2024-05-01 12:00:00+00:00,2024-05-01 17:30:00+05:30,31.2,10.15,7.72,119.43,-3.62,97.86
2024-05-01 13:00:00+00:00,2024-05-01 18:30:00+05:30,28.27,13.0,5.08,4.65,-2.68,97.92
2024-05-01 14:00:00+00:00,2024-05-01 19:30:00+05:30,26.45,16.11,4.22,0.0,-1.27,98.0
2024-05-01 15:00:00+00:00,2024-05-01 20:30:00+05:30,25.31,18.56,3.77,0.0,-0.24,98.08
2024-05-01 16:00:00+00:00,2024-05-01 21:30:00+05:30,24.15,20.68,3.34,0.0,0.28,98.1
2024-05-01 17:00:00+00:00,2024-05-01 22:30:00+05:30,23.14,22.42,3.11,0.0,0.58,98.1
2024-05-01 18:00:00+00:00,2024-05-01 23:30:00+05:30,22.34,24.05,3.09,0.0,0.85,98.08
2024-05-01 19:00:00+00:00,2024-05-02 00:30:00+05:30,21.65,25.57,3.12,0.0,1.13,98.06
2024-05-01 20:00:00+00:00,2024-05-02 01:30:00+05:30,21.02,27.07,3.18,0.0,1.38,98.04
2024-05-01 21:00:00+00:00,2024-05-02 02:30:00+05:30,20.4,28.57,3.15,0.0,1.6,98.01
