ward_id,ward_name,forecast_date,temperature_max_c,humidity_mean_pct,wbgt_max_c,utci_max_c,thermal_hazard_score,danger_hours,extreme_hours,consecutive_danger_days,population_estimate_2020,mortality_risk_index,evidence_relative_risk,evidence_relative_increase_pct,calibrated_mortality_risk_index,calibrated_risk_level,calibrated_alert_code,calibrated_recommended_action
261,JIWANPUR,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,126083,72.52,1.27,27.03,92.1,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
236,RAGHUBAR PURA,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,78317,72.3,1.27,27.03,91.82,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
241,DILSHAD GARDEN,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,108201,72.26,1.27,27.03,91.77,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
239,VIVEK VIHAR,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,114087,71.98,1.27,27.03,91.41,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
265,SHIV VIHAR,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,109480,71.86,1.27,27.03,91.26,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
251,NEW USMANPUR,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,96722,71.66,1.27,27.03,91.01,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
256,YAMUNA VIHAR,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,102218,71.57,1.27,27.03,90.89,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
268,MUSTAFABAD,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,96023,71.33,1.27,27.03,90.59,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
258,KARDAM PURI,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,91038,71.13,1.27,27.03,90.34,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
262,GOKALPUR,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,90241,71.1,1.27,27.03,90.3,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
227,I.P EXTENTION,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,150274,70.98,1.27,27.03,90.14,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
248,WELCOME COLONY,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,64216,70.98,1.27,27.03,90.14,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
271,KARAWAL NAGAR WEST,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,108660,70.92,1.27,27.03,90.07,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
247,RAM NAGAR,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,80031,70.86,1.27,27.03,89.99,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
235,AZAD NAGAR,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,49058,70.79,1.27,27.03,89.9,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
214,KHICHRIPUR,2026-08-31,36.1,64.54,31.38,43.73,76.21,10,3,4,140933,70.65,1.27,27.03,89.73,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
266,KARAWAL NAGAR EAST,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,76497,70.55,1.27,27.03,89.6,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
269,KHAJOORI KHAS,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,73513,70.44,1.27,27.03,89.46,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
229,KRISHNA  NAGAR,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,88882,70.29,1.27,27.03,89.27,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
233,DHARAMPURA,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,58150,70.24,1.27,27.03,89.2,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
250,ZAFFRABAD,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,26285,70.19,1.27,27.03,89.14,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
245,DURGA PURI,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,47813,70.17,1.27,27.03,89.12,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
246,ASHOK NAGAR,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,60768,69.93,1.27,27.03,88.81,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
97,KIRTI NAGAR,2026-08-31,35.8,61.42,31.24,43.79,75.8,11,2,4,116265,69.89,1.27,27.03,88.76,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
249,CHAUHAN BANGER,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,31858,69.85,1.27,27.03,88.71,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
255,GHONDA,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,46069,69.35,1.27,27.03,88.07,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
100,KARAM PURA,2026-08-31,35.8,61.42,31.24,43.79,75.8,11,2,4,85704,69.31,1.27,27.03,88.02,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
91,KAROL BAGH,2026-08-31,35.8,61.42,31.24,43.79,75.8,11,2,4,86110,69.24,1.27,27.03,87.93,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
228,PREET VIHAR,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,111517,69.19,1.27,27.03,87.87,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
230,GEETA COLONY,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,55717,69.11,1.27,27.03,87.77,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
257,SUBHASH MOHALLA,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,38002,69.03,1.27,27.03,87.67,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
270,TUKHMIR PUR,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,33834,68.87,1.27,27.03,87.46,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
225,ANAND VIHAR,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,120989,68.81,1.27,27.03,87.39,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
121,KUNWAR SINGH NAGAR,2026-08-31,35.3,60.79,31.11,43.59,74.89,11,1,4,155525,68.81,1.27,27.03,87.39,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
253,BHAJANPURA,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,59706,68.77,1.27,27.03,87.34,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
254,BRAHAM PURI,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,54813,68.68,1.27,27.03,87.22,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
109,JANAK PURI NORTH,2026-08-31,35.3,60.79,31.11,43.59,74.89,11,1,4,102812,68.62,1.27,27.03,87.15,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
243,NAND NAGRI,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,34381,68.57,1.27,27.03,87.08,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
237,SHAHDARA,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,39221,68.47,1.27,27.03,86.96,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
90,MODEL BASTI,2026-08-31,35.8,61.42,31.24,43.79,75.8,11,2,4,57887,68.45,1.27,27.03,86.93,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
219,MAYUR VIHAR PHASE II,2026-08-31,36.0,63.83,31.27,43.62,75.72,9,2,4,80370,68.37,1.27,27.03,86.83,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
105,RAJOURI GARDEN,2026-08-31,35.3,60.79,31.11,43.59,74.89,11,1,4,84991,68.33,1.27,27.03,86.78,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
272,SONIA VIHAR,2026-08-31,35.2,66.04,31.03,43.17,73.97,9,1,4,161026,68.16,1.27,27.03,86.56,Extreme,RED,Activate emergency heat response; expand cooling centres and ambulance readiness; suspend strenuous outdoor work; issue regional alerts and initiate hospital surge protocols.
