timestamp_utc,timestamp_local,temperature_c,relative_humidity_pct,wind_speed_10m_mps,solar_radiation_wm2,dew_point_c,surface_pressure_kpa,heat_index_c,wet_bulb_c,estimated_globe_temperature_c,estimated_mean_radiant_temperature_c,estimated_wbgt_c,utci_c,utci_category,thermal_stress_level
2024-05-01 00:00:00+00:00,2024-05-01 05:30:00+05:30,20.16,38.67,3.66,22.76,5.66,97.82,25.11,12.26,20.41,21.51,14.68,15.25,no thermal stress,Low
2024-05-01 01:00:00+00:00,2024-05-01 06:30:00+05:30,22.37,37.48,4.94,154.26,7.19,97.89,24.93,13.85,23.95,31.71,16.72,18.46,no thermal stress,Low
2024-05-01 02:00:00+00:00,2024-05-01 07:30:00+05:30,25.94,31.72,4.96,342.3,7.89,97.95,25.88,15.64,29.44,45.15,19.43,25.45,no thermal stress,Low
2024-05-01 03:00:00+00:00,2024-05-01 08:30:00+05:30,30.76,19.83,6.17,546.41,5.03,98.01,28.86,16.37,36.05,60.43,21.75,33.23,strong heat stress,Moderate
2024-05-01 04:00:00+00:00,2024-05-01 09:30:00+05:30,33.5,13.66,6.99,715.67,2.07,98.05,31.09,16.17,40.21,71.26,22.71,38.59,very strong heat stress,High
2024-05-01 05:00:00+00:00,2024-05-01 10:30:00+05:30,34.6,11.74,7.28,845.11,0.83,98.05,32.03,16.11,42.44,78.09,23.22,41.39,very strong heat stress,High
2024-05-01 06:00:00+00:00,2024-05-01 11:30:00+05:30,35.4,10.14,7.6,901.9,-0.53,98.01,32.69,15.91,43.67,81.46,23.41,43.02,very strong heat stress,High
2024-05-01 07:00:00+00:00,2024-05-01 12:30:00+05:30,35.85,9.27,7.87,890.36,-1.37,97.95,33.06,15.79,43.94,81.6,23.42,43.54,very strong heat stress,High
2024-05-01 08:00:00+00:00,2024-05-01 13:30:00+05:30,35.84,8.92,8.21,904.28,-1.88,97.89,33.04,15.62,43.96,82.57,23.31,43.81,very strong heat stress,High
2024-05-01 09:00:00+00:00,2024-05-01 14:30:00+05:30,35.37,8.8,8.61,758.97,-2.35,97.83,32.63,15.3,42.1,76.26,22.67,41.89,very strong heat stress,High
2024-05-01 10:00:00+00:00,2024-05-01 15:30:00+05:30,34.42,8.81,8.85,563.25,-3.06,97.81,31.81,14.77,39.37,66.47,21.66,38.6,very strong heat stress,High
2024-05-01 11:00:00+00:00,2024-05-01 16:30:00+05:30,32.98,9.18,8.73,337.88,-3.58,97.81,30.59,14.12,35.96,53.45,20.37,33.86,strong heat stress,Moderate
2024-05-01 12:00:00+00:00,2024-05-01 17:30:00+05:30,31.2,10.15,7.72,119.43,-3.62,97.86,29.11,13.49,32.29,38.78,19.02,28.16,moderate heat stress,Low
2024-05-01 13:00:00+00:00,2024-05-01 18:30:00+05:30,28.27,13.0,5.08,4.65,-2.68,97.92,26.82,12.73,28.27,28.27,17.39,22.91,no thermal stress,Low
2024-05-01 14:00:00+00:00,2024-05-01 19:30:00+05:30,26.45,16.11,4.22,0.0,-1.27,98.0,25.63,12.49,26.45,26.45,16.68,21.28,no thermal stress,Low
2024-05-01 15:00:00+00:00,2024-05-01 20:30:00+05:30,25.31,18.56,3.77,0.0,-0.24,98.08,25.05,12.37,25.31,25.31,16.25,20.39,no thermal stress,Low
2024-05-01 16:00:00+00:00,2024-05-01 21:30:00+05:30,24.15,20.68,3.34,0.0,0.28,98.1,24.59,12.07,24.15,24.15,15.69,19.57,no thermal stress,Low
2024-05-01 17:00:00+00:00,2024-05-01 22:30:00+05:30,23.14,22.42,3.11,0.0,0.58,98.1,24.31,11.74,23.14,23.14,15.16,18.74,no thermal stress,Low
2024-05-01 18:00:00+00:00,2024-05-01 23:30:00+05:30,22.34,24.05,3.09,0.0,0.85,98.08,24.2,11.5,22.34,22.34,14.75,17.88,no thermal stress,Low
2024-05-01 19:00:00+00:00,2024-05-02 00:30:00+05:30,21.65,25.57,3.12,0.0,1.13,98.06,24.18,11.29,21.65,21.65,14.39,17.07,no thermal stress,Low
2024-05-01 20:00:00+00:00,2024-05-02 01:30:00+05:30,21.02,27.07,3.18,0.0,1.38,98.04,24.24,11.09,21.02,21.02,14.07,16.28,no thermal stress,Low
2024-05-01 21:00:00+00:00,2024-05-02 02:30:00+05:30,20.4,28.57,3.15,0.0,1.6,98.01,24.37,10.89,20.4,20.4,13.74,15.64,no thermal stress,Low
2024-05-01 22:00:00+00:00,2024-05-02 03:30:00+05:30,19.75,30.15,3.08,0.0,1.8,97.99,24.57,10.65,19.75,19.75,13.38,15.06,no thermal stress,Low
2024-05-01 23:00:00+00:00,2024-05-02 04:30:00+05:30,19.11,31.87,3.01,0.0,2.0,97.99,24.87,10.43,19.11,19.11,13.03,14.5,no thermal stress,Low
