date,hours_available,temperature_max_c,temperature_min_c,temperature_mean_c,humidity_max_pct,humidity_mean_pct,wind_mean_mps,solar_max_wm2,heat_index_max_c,wet_bulb_max_c,wbgt_max_c,wbgt_mean_c,utci_max_c,utci_mean_c,danger_hours,extreme_hours,night_temperature_min_c,daily_heat_level,is_dangerous_day,consecutive_danger_days,previous_day_wbgt_c,previous_day_utci_c,wbgt_3day_mean_c,utci_3day_mean_c,temperature_only_warning,temperature_only_score,wbgt_score,utci_score,warm_night_score,danger_hour_score,duration_score,historical_thermal_hazard_score,comprehensive_warning,evidence_relative_risk,evidence_relative_increase_pct,calibration_basis,calibration_evidence_type,historical_calibrated_risk_index,historical_risk_level,temperature_threshold_missed_event,backtest_model_version
2024-05-02,24,37.94,19.11,28.64,32.15,18.53,4.2,1004.7,34.93,16.97,24.98,18.99,45.45,28.5,7,0,19.11,High,True,1,,,24.98,45.45,False,22.62,16.5,74.72,0.0,29.17,20.0,31.44,True,1.05,5.0,Single danger-day conservative operational adjustment,Provisional operational heuristic,33.01,Moderate,True,historical-stress-validation-v1
2024-05-03,24,40.15,21.84,31.32,25.54,15.05,4.72,908.5,36.65,16.93,25.28,20.2,47.56,31.48,8,3,21.84,Extreme,True,2,24.98,45.45,25.13,46.5,True,39.62,19.0,86.44,0.0,33.33,40.0,39.32,True,1.147,14.7,Indian 10-city two-day heatwave relative-risk proxy,Published evidence proxy,45.1,Moderate,False,historical-stress-validation-v1
2024-05-04,24,42.71,26.08,33.94,25.12,15.78,3.3,959.45,39.23,19.13,27.89,22.4,50.68,34.6,8,6,26.08,Extreme,True,3,25.28,47.56,26.05,47.9,True,59.31,40.75,100.0,40.8,33.33,60.0,58.24,True,1.209,20.87,Interpolated Indian multi-city evidence for 3-day severe-heat proxy,Evidence interpolation,70.41,High,False,historical-stress-validation-v1
2024-05-05,24,43.84,24.75,34.47,35.81,20.69,3.89,943.4,41.39,21.45,30.01,23.94,52.37,35.56,10,7,24.75,Extreme,True,4,27.89,50.68,27.73,50.2,True,68.0,58.42,100.0,27.5,41.67,80.0,64.78,True,1.27,27.03,Interpolated Indian multi-city evidence for 4-day severe-heat proxy,Evidence interpolation,82.27,Extreme,False,historical-stress-validation-v1
2024-05-06,24,43.03,26.86,34.93,32.61,20.65,3.79,928.4,40.95,21.67,29.91,24.39,51.56,36.15,10,7,26.86,Extreme,True,5,30.01,52.37,29.27,51.54,True,61.77,57.58,100.0,48.6,41.67,100.0,69.11,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,92.05,Extreme,False,historical-stress-validation-v1
2024-05-07,24,43.37,27.68,35.9,30.89,19.2,2.13,891.7,41.02,21.39,30.06,24.92,49.59,36.47,10,5,27.68,Extreme,True,6,29.91,51.56,29.99,51.17,True,64.38,58.83,97.72,56.8,41.67,100.0,70.35,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,93.71,Extreme,False,historical-stress-validation-v1
2024-05-08,24,43.13,27.43,35.02,30.64,19.31,3.29,898.8,40.13,20.37,29.25,24.09,50.79,35.31,10,5,27.43,Extreme,True,7,30.06,49.59,29.74,50.65,True,62.54,52.08,100.0,54.3,41.67,100.0,68.67,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,91.47,Extreme,False,historical-stress-validation-v1
2024-05-09,24,40.91,25.64,33.19,44.68,28.64,3.54,906.35,39.85,22.46,30.13,24.57,48.07,33.49,9,4,25.64,Extreme,True,8,29.25,50.79,29.81,49.48,True,45.46,59.42,89.28,36.4,37.5,100.0,62.81,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,83.66,Extreme,False,historical-stress-validation-v1
2024-05-10,24,41.9,26.61,34.37,41.21,27.33,3.04,898.53,40.38,22.21,30.7,25.28,48.15,34.97,9,4,26.61,Extreme,True,9,30.13,48.07,30.03,49.0,True,53.08,64.17,89.72,46.1,37.5,100.0,66.32,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,88.34,Extreme,False,historical-stress-validation-v1
2024-05-11,24,41.73,27.6,34.35,49.26,29.22,2.7,881.8,40.62,22.59,30.16,25.48,49.38,35.92,10,5,27.6,Extreme,True,10,30.7,48.15,30.33,48.53,True,51.77,59.67,96.56,56.0,41.67,100.0,68.88,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,91.75,Extreme,False,historical-stress-validation-v1
2024-05-12,24,41.92,27.78,34.88,38.97,24.38,2.61,860.75,40.37,21.99,29.71,25.1,49.17,36.45,10,5,27.78,Extreme,True,11,30.16,49.38,30.19,48.9,True,53.23,55.92,95.39,57.8,41.67,100.0,68.07,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,90.67,Extreme,False,historical-stress-validation-v1
2024-05-13,24,42.4,27.9,34.96,35.11,20.55,2.68,881.0,40.13,21.15,29.38,24.32,49.44,35.74,10,4,27.9,Extreme,True,12,29.71,49.17,29.75,49.33,True,56.92,53.17,96.89,59.0,41.67,100.0,68.31,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,90.99,Extreme,False,historical-stress-validation-v1
2024-05-14,24,43.09,25.36,34.47,25.99,15.96,3.63,920.97,39.99,20.09,28.76,22.96,51.32,35.42,10,7,25.36,Extreme,True,13,29.38,49.44,29.28,49.98,True,62.23,48.0,100.0,33.6,41.67,100.0,64.51,True,1.332,33.2,Indian 10-city five-day extreme-heat relative-risk proxy,Published evidence proxy,85.93,Extreme,False,historical-stress-validation-v1
