date,hours_available,temperature_max_c,temperature_min_c,temperature_mean_c,humidity_max_pct,humidity_mean_pct,wind_mean_mps,solar_max_wm2,heat_index_max_c,wet_bulb_max_c,wbgt_max_c,wbgt_mean_c,utci_max_c,utci_mean_c,danger_hours,extreme_hours,night_temperature_min_c,daily_heat_level,is_dangerous_day,consecutive_danger_days,previous_day_wbgt_c,previous_day_utci_c,wbgt_3day_mean_c,utci_3day_mean_c,thermal_hazard_score,heat_duration_score,ward_id,ward_name,population,area_sq_km,children_0_6,elderly_60_plus,outdoor_workers,mean_ndvi,hospitals_per_100k,population_density,child_percentage,elderly_percentage,outdoor_worker_percentage,population_density_score,population_size_score,child_vulnerability_score,elderly_vulnerability_score,outdoor_worker_score,vegetation_deficiency_score,healthcare_deficiency_score,demographic_vulnerability_score,population_exposure_score,vulnerability_level,mortality_risk_index,risk_level,alert_colour,recommended_action,risk_rank_within_city,model_version,risk_interpretation
2024-05-02,24,37.94,19.11,28.64,32.15,18.53,4.2,1004.7,34.93,16.97,24.98,18.99,45.45,28.5,7,0,19.11,High,True,1,,,24.98,45.45,51.77,33.33,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,45.56,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-02,24,37.94,19.11,28.64,32.15,18.53,4.2,1004.7,34.93,16.97,24.98,18.99,45.45,28.5,7,0,19.11,High,True,1,,,24.98,45.45,51.77,33.33,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,40.89,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-02,24,37.94,19.11,28.64,32.15,18.53,4.2,1004.7,34.93,16.97,24.98,18.99,45.45,28.5,7,0,19.11,High,True,1,,,24.98,45.45,51.77,33.33,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,39.86,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-02,24,37.94,19.11,28.64,32.15,18.53,4.2,1004.7,34.93,16.97,24.98,18.99,45.45,28.5,7,0,19.11,High,True,1,,,24.98,45.45,51.77,33.33,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,36.64,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-02,24,37.94,19.11,28.64,32.15,18.53,4.2,1004.7,34.93,16.97,24.98,18.99,45.45,28.5,7,0,19.11,High,True,1,,,24.98,45.45,51.77,33.33,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,32.56,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-03,24,40.15,21.84,31.32,25.54,15.05,4.72,908.5,36.65,16.93,25.28,20.2,47.56,31.48,8,3,21.84,Extreme,True,2,24.98,45.45,25.13,46.5,55.79,66.67,DEMO-003,Demo Ward C,91000,2.7,11800,7200,15200,0.11,0.8,33703.7,12.97,7.91,16.7,100.0,100.0,100.0,0.0,100.0,89.0,100.0,73.35,100.0,High,50.96,High,Orange,"Prepare cooling centres, shift outdoor work hours and increase hospital readiness.",1,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-03,24,40.15,21.84,31.32,25.54,15.05,4.72,908.5,36.65,16.93,25.28,20.2,47.56,31.48,8,3,21.84,Extreme,True,2,24.98,45.45,25.13,46.5,55.79,66.67,DEMO-005,Demo Ward E,76000,3.5,8900,6600,12100,0.15,1.5,21714.29,11.71,8.68,15.92,54.69,69.39,65.87,9.73,88.33,85.0,74.07,57.78,60.57,High,45.92,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",2,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-03,24,40.15,21.84,31.32,25.54,15.05,4.72,908.5,36.65,16.93,25.28,20.2,47.56,31.48,8,3,21.84,Extreme,True,2,24.98,45.45,25.13,46.5,55.79,66.67,DEMO-001,Demo Ward A,65000,3.1,7200,6100,9800,0.18,1.2,20967.74,11.08,9.38,15.08,51.87,46.94,48.66,18.55,75.74,82.0,85.19,55.84,49.9,High,44.81,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",3,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-03,24,40.15,21.84,31.32,25.54,15.05,4.72,908.5,36.65,16.93,25.28,20.2,47.56,31.48,8,3,21.84,Extreme,True,2,24.98,45.45,25.13,46.5,55.79,66.67,DEMO-004,Demo Ward D,53000,4.4,5100,8400,5900,0.31,2.4,12045.45,9.62,15.85,11.13,18.15,22.45,9.15,100.0,16.89,69.0,40.74,47.35,19.87,Moderate,41.35,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",4,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
2024-05-03,24,40.15,21.84,31.32,25.54,15.05,4.72,908.5,36.65,16.93,25.28,20.2,47.56,31.48,8,3,21.84,Extreme,True,2,24.98,45.45,25.13,46.5,55.79,66.67,DEMO-002,Demo Ward B,42000,5.8,3900,5200,4200,0.42,3.5,7241.38,9.29,12.38,10.0,0.0,0.0,0.0,56.3,0.0,58.0,0.0,22.78,0.0,Low,36.95,Moderate,Yellow,"Notify local health centres, increase water access and check vulnerable residents.",5,provisional-rule-based-v1,"Impact-risk ranking, not a predicted death count"
