ward_id,ward_name,forecast_date,temperature_max_c,temperature_min_c,temperature_mean_c,humidity_mean_pct,humidity_max_pct,wind_mean_mps,solar_max_wm2,heat_index_max_c,wbgt_max_c,wbgt_mean_c,utci_max_c,thermal_hazard_score,danger_hours,extreme_hours,night_temperature_min_c,peak_risk_time_ist,population_estimate_2020,population_density_per_sq_km,exposure_score,danger_day,consecutive_danger_days,heat_duration_score,mortality_risk_index,risk_level,alert_code,map_color,recommended_action,sms_alert_required,open_cooling_centres,shift_outdoor_work_hours,hospital_surge_alert,model_version,risk_interpretation,vulnerability_data_status
1,NARELA,2026-08-28,33.7,27.3,30.3,76.0,92,2.12,764.0,40.03,30.3,28.31,40.84,67.62,11,0,27.3,2026-08-28T11:00,107464,5301.18,25.21,True,1,33.33,53.0,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
1,NARELA,2026-08-29,33.7,26.7,30.08,74.42,84,2.29,848.0,41.81,31.32,28.04,43.02,75.5,12,2,26.7,2026-08-29T13:00,107464,5301.18,25.21,True,2,66.67,61.69,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
1,NARELA,2026-08-30,33.8,26.8,30.28,73.67,85,1.88,825.0,42.04,31.43,28.18,42.81,75.68,13,3,26.8,2026-08-30T13:00,107464,5301.18,25.21,True,3,100.0,64.36,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
1,NARELA,2026-08-31,33.1,26.9,29.78,76.88,95,1.35,778.0,40.66,30.91,28.0,41.76,71.65,11,0,26.9,2026-08-31T13:00,107464,5301.18,25.21,True,4,100.0,60.93,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
1,NARELA,2026-09-01,32.2,26.5,28.49,84.33,96,1.36,783.0,40.63,30.89,27.55,41.51,71.46,7,0,26.5,2026-09-01T13:00,107464,5301.18,25.21,True,5,100.0,60.77,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
10,TIMAR PUR,2026-08-28,34.2,26.5,30.52,74.67,93,2.07,763.0,40.06,30.4,28.36,41.15,68.66,13,0,26.5,2026-08-28T13:00,107771,22550.01,45.11,True,1,33.33,56.55,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
10,TIMAR PUR,2026-08-29,34.6,26.9,30.92,68.46,80,2.16,843.0,40.89,30.97,28.15,43.13,73.81,14,0,26.9,2026-08-29T13:00,107771,22550.01,45.11,True,2,66.67,63.25,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
10,TIMAR PUR,2026-08-30,35.0,27.5,31.32,66.12,83,1.89,786.0,41.48,31.13,28.26,42.68,74.3,15,1,27.5,2026-08-30T14:00,107771,22550.01,45.11,True,3,100.0,66.14,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
10,TIMAR PUR,2026-08-31,35.2,27.9,31.19,66.04,89,1.64,817.0,41.15,31.03,28.09,43.17,73.97,9,1,27.9,2026-08-31T14:00,107771,22550.01,45.11,True,4,100.0,65.85,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
10,TIMAR PUR,2026-09-01,33.7,27.3,29.78,77.71,94,1.3,771.0,40.19,30.74,28.06,42.07,71.35,9,0,27.3,2026-09-01T13:00,107771,22550.01,45.11,True,5,100.0,63.52,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
100,KARAM PURA,2026-08-28,34.5,26.5,30.69,72.71,93,1.93,770.0,39.97,30.55,28.32,42.09,70.45,12,0,26.5,2026-08-28T13:00,85704,38197.62,57.18,True,1,33.33,59.72,High,ORANGE,#E67E22,Activate the local heat action plan; open cooling centres; shift strenuous outdoor work away from afternoon hours; alert hospitals for a possible heat-illness surge.,True,True,True,True,provisional-impact-risk-v2,Relative heat-health impact ranking; not a predicted death count,WorldPop exposure included; demographic and health-outcome calibration pending
